Date,DesignCycleCount70,CycleCount,DesignCycleCount9C,MaxCapacity,CurrentCapacity,DesignCapacity
2012-08-14 15:41:00,65535,1,1000,6648,4186,6700
2012-08-14 15:42:00,65535,1,1000,6648,4247,6700
2012-08-14 15:43:00,65535,1,1000,6648,4307,6700
2012-08-14 15:44:00,65535,1,1000,6648,4367,6700
2012-08-14 15:45:00,65535,1,1000,6648,4427,6700
2012-08-14 15:46:00,65535,1,1000,6648,4481,6700
2012-08-14 15:47:00,65535,1,1000,6648,4540,6700
2012-08-14 15:48:00,65535,1,1000,6648,4598,6700
2012-08-14 15:49:00,65535,1,1000,6648,4654,6700
2012-08-14 15:50:00,65535,1,1000,6648,4717,6700
2012-08-14 15:51:00,65535,1,1000,6648,4775,6700
2012-08-14 15:52:00,65535,1,1000,6648,4838,6700
2012-08-14 15:53:00,65535,1,1000,6648,4898,6700
2012-08-14 15:54:00,65535,1,1000,6648,4958,6700
2012-08-14 15:55:00,65535,1,1000,6648,5020,6700
2012-08-14 15:56:00,65535,1,1000,6648,5079,6700
2012-08-14 15:57:00,65535,1,1000,6648,5135,6700
2012-08-14 15:58:00,65535,1,1000,6648,5190,6700
2012-08-14 15:59:00,65535,1,1000,6648,5245,6700
2012-08-14 16:00:00,65535,1,1000,6648,5300,6700
2012-08-14 16:01:00,65535,1,1000,6648,5350,6700
2012-08-14 16:02:00,65535,1,1000,6648,5399,6700
2012-08-14 16:03:00,65535,1,1000,6648,5449,6700
2012-08-14 16:04:00,65535,1,1000,6648,5494,6700
2012-08-14 16:05:00,65535,1,1000,6648,5539,6700
2012-08-14 16:06:00,65535,1,1000,6648,5563,6700
2012-08-14 16:07:00,65535,1,1000,6648,5610,6700
2012-08-14 16:08:00,65535,1,1000,6648,5655,6700
2012-08-14 16:09:00,65535,1,1000,6648,5699,6700
2012-08-14 16:10:00,65535,1,1000,6648,5741,6700
2012-08-14 16:11:00,65535,1,1000,6648,5781,6700
2012-08-14 16:12:00,65535,1,1000,6648,5819,6700
2012-08-14 16:13:00,65535,1,1000,6648,5856,6700
2012-08-14 16:14:00,65535,1,1000,6648,5891,6700
2012-08-14 16:15:00,65535,1,1000,6648,5924,6700
2012-08-14 16:16:00,65535,1,1000,6648,5956,6700
2012-08-14 16:17:00,65535,1,1000,6648,5986,6700
2012-08-14 16:18:00,65535,1,1000,6648,6015,6700
2012-08-14 16:19:00,65535,1,1000,6648,6043,6700
2012-08-14 16:20:00,65535,1,1000,6648,6070,6700
2012-08-14 16:21:00,65535,1,1000,6648,6095,6700
2012-08-14 16:22:00,65535,1,1000,6648,6120,6700
2012-08-14 16:23:00,65535,1,1000,6648,6143,6700
2012-08-14 16:24:00,65535,1,1000,6648,6165,6700
2012-08-14 16:25:00,65535,1,1000,6648,6187,6700
2012-08-14 16:26:00,65535,1,1000,6648,6207,6700
2012-08-14 16:27:00,65535,1,1000,6648,6226,6700
2012-08-14 16:28:00,65535,1,1000,6648,6245,6700
2012-08-14 16:29:00,65535,1,1000,6648,6263,6700
2012-08-14 16:30:00,65535,1,1000,6648,6280,6700
2012-08-14 16:31:00,65535,1,1000,6648,6296,6700
2012-08-14 16:32:00,65535,1,1000,6648,6311,6700
2012-08-14 16:33:00,65535,1,1000,6648,6326,6700
2012-08-14 16:34:00,65535,1,1000,6648,6340,6700
